"R. Venkatesan"	"authorOf"	"c094ef2f-ea0a-44bf-a9b1-a7051f57b814"
"Gregory E. Wannier"	"authorOf"	"4cc32d0d-a682-4056-9091-dab90e5b90d4"
"H Tyler-Walters"	"authorOf"	"976668f8-bb0e-43ab-856f-3975addb08f4"
"D Parsons"	"authorOf"	"3387a198-bfcd-48db-9b8d-2cddd3e7d69c"
"Florian Faure"	"authorOf"	"ba966389-3c74-4af9-a8ee-66337417340d"
"William C. Burnett"	"authorOf"	"cc6c5cb5-6894-4fcb-b02f-4cedb7c6e6c3"
"Nayan Chanda"	"authorOf"	"074640df-471d-417e-8f1d-1f9a81443d94"
"Lars R. Hole"	"authorOf"	"27f6ff58-2a59-437a-a8bb-719fc526b928"
"Phil Watson B. E. (hons"	"authorOf"	"#22:3579414"
"Muthuvel Arumugam"	"authorOf"	"39187370-1229-4181-b340-ab4662b90f8c"
"Leed Ap"	"authorOf"	"a0ca594f-8399-4854-8a06-f28a85f1f490"
"Lucia Foster"	"authorOf"	"86c97854-09a4-405a-9cd1-953151e49656"
"Magnuz Engardt"	"authorOf"	"27f6ff58-2a59-437a-a8bb-719fc526b928"
"M. Al-Hajri"	"authorOf"	"09744c14-d39c-47c5-b45d-5ff479910346"
"Paul A. Weiss"	"authorOf"	"54c8a72d-d37f-4558-b38b-02e01541a30b"
"Adriana C. Excoffon"	"authorOf"	"2dd0dd6f-fc24-4f20-93ac-da3349ef83f2"
"Michael Schudson"	"authorOf"	"f2ad8630-c754-4e70-abbe-c61ee70d2bc5"
"David Uzzell"	"authorOf"	"d074de24-7611-4539-a529-011836aed267"
"Sepul Kanti Barua"	"authorOf"	"c04c016c-f65c-4b26-acba-f97666f2d6be"
"Peter K. Eisinger"	"authorOf"	"71bd12d4-520f-4abb-b24d-99735a641c30"
"Marc Rius"	"authorOf"	"0e28ba68-2694-436c-a8fa-3effecca6cd5"
"Abdul Qayyum"	"authorOf"	"49ae46c5-b312-4174-9d96-45237a6e9b13"
"Sharon R. Krause"	"authorOf"	"f82874fb-9998-45a4-8139-849456832bae"
"Raymond K.H. Chan"	"authorOf"	"83634490-bf3a-4aaf-9cdd-c0b2dd7f78f2"
"Jane Willing"	"authorOf"	"63dda7b7-9dc7-4870-bad9-f3db0709e642"
"Hal T. Nelson"	"authorOf"	"a1d68fd6-0a34-488b-8c0f-147974830b2e"
